image_id, xmin, ymin, xmax, ymax, class_id
VID193_A1_4_01d02h00m.tif, 1259.7574, 1029.7574, 1268.2426, 1038.2426, 0
VID193_A1_4_01d02h00m.tif, 1095.3431, 1026.3431, 1106.6569, 1037.6569, 0
VID193_A1_4_01d02h00m.tif, 421.7574, 1027.7574, 430.2426, 1036.2426, 0
VID193_A1_4_01d02h00m.tif, 924.3431, 1024.3431, 935.6569, 1035.6569, 0
VID193_A1_4_01d02h00m.tif, 64.3431, 1024.3431, 75.6569, 1035.6569, 0
VID193_A1_4_01d02h00m.tif, 491.7574, 1024.7574, 500.2426, 1033.2426, 0
VID193_A1_4_01d02h00m.tif, 308.3431, 1023.3431, 319.6569, 1034.6569, 0
VID193_A1_4_01d02h00m.tif, 81.7574, 1024.7574, 90.2426, 1033.2426, 0
VID193_A1_4_01d02h00m.tif, 1394.7574, 1023.7574, 1403.2426, 1032.2426, 0
VID193_A1_4_01d02h00m.tif, 1083.7574, 1023.7574, 1092.2426, 1032.2426, 0
VID193_A1_4_01d02h00m.tif, 886.3431, 1022.3431, 897.6569, 1033.6569, 0
VID193_A1_4_01d02h00m.tif, 875.7574, 1023.7574, 884.2426, 1032.2426, 0
VID193_A1_4_01d02h00m.tif, 775.7574, 1023.7574, 784.2426, 1032.2426, 0
VID193_A1_4_01d02h00m.tif, 278.7574, 1021.7574, 287.2426, 1030.2426, 0
VID193_A1_4_01d02h00m.tif, 949.3431, 1019.3431, 960.6569, 1030.6569, 0
VID193_A1_4_01d02h00m.tif, 478.7574, 1020.7574, 487.2426, 1029.2426, 0
VID193_A1_4_01d02h00m.tif, 197.7574, 1020.7574, 206.2426, 1029.2426, 0
VID193_A1_4_01d02h00m.tif, 904.7574, 1019.7574, 913.2426, 1028.2426, 0
VID193_A1_4_01d02h00m.tif, 1157.9289, 1015.9289, 1172.0711, 1030.0711, 0
VID193_A1_4_01d02h00m.tif, 807.3431, 1017.3431, 818.6569, 1028.6569, 0
VID193_A1_4_01d02h00m.tif, 721.7574, 1018.7574, 730.2426, 1027.2426, 0
VID193_A1_4_01d02h00m.tif, 468.7574, 1018.7574, 477.2426, 1027.2426, 0
VID193_A1_4_01d02h00m.tif, 1134.3431, 1016.3431, 1145.6569, 1027.6569, 0
VID193_A1_4_01d02h00m.tif, 8.7574, 1015.7574, 17.2426, 1024.2426, 0
VID193_A1_4_01d02h00m.tif, 429.3431, 1013.3431, 440.6569, 1024.6569, 0
VID193_A1_4_01d02h00m.tif, 245.3431, 1013.3431, 256.6569, 1024.6569, 0
VID193_A1_4_01d02h00m.tif, 157.3431, 1013.3431, 168.6569, 1024.6569, 0
VID193_A1_4_01d02h00m.tif, 1387.7574, 1013.7574, 1396.2426, 1022.2426, 0
VID193_A1_4_01d02h00m.tif, 284.7574, 1013.7574, 293.2426, 1022.2426, 0
VID193_A1_4_01d02h00m.tif, 1203.7574, 1012.7574, 1212.2426, 1021.2426, 0
